iter	Logloss
0	0.6808502056
1	0.668761629
2	0.6578467669
3	0.6466956372
4	0.6364095798
5	0.625804117
6	0.6154351818
7	0.6060790146
8	0.5966881739
9	0.5870476564
10	0.5781649675
11	0.5697528826
12	0.5608094588
13	0.5516397325
14	0.5442128181
15	0.5358446046
16	0.5278996328
17	0.5195859081
18	0.5123670876
19	0.5052932366
20	0.4975651384
21	0.490727674
22	0.4845320453
23	0.4777942759
24	0.4718775835
25	0.4659482104
26	0.4597616438
27	0.4536640612
28	0.4480879482
29	0.4423304744
30	0.4374367602
31	0.4326203565
32	0.4278053973
33	0.4228999412
34	0.4175548831
35	0.4132402182
36	0.4087793949
37	0.4039883029
38	0.3998757235
39	0.3952726542
40	0.3913031359
41	0.3874392816
42	0.3832634884
43	0.3795353857
44	0.3757469137
45	0.3724338053
46	0.3686889153
47	0.3647520935
48	0.3612237445
49	0.3581894614
50	0.3551615849
51	0.3520034023
52	0.3489650399
53	0.3462244345
54	0.3430492321
55	0.3402916728
56	0.3375217383
57	0.3350986506
58	0.3327300591
59	0.3299860322
60	0.3275692387
61	0.325290755
62	0.323075957
63	0.3207319443
64	0.3183879923
65	0.3162998046
66	0.3141003442
67	0.3119588014
68	0.3100703501
69	0.3079080724
70	0.3059842766
71	0.3037464079
72	0.30198972
73	0.3005769392
74	0.2990566593
75	0.2972379458
76	0.295733266
77	0.294249244
78	0.2926556051
79	0.2910905623
80	0.2896358995
81	0.2880216093
82	0.2866038457
83	0.2851684545
84	0.2837547819
85	0.2824008457
86	0.2809954816
87	0.2794445941
88	0.2782211446
89	0.2768936458
90	0.2757190235
91	0.2742861524
92	0.273118932
93	0.271841267
94	0.27063886
95	0.2694811246
96	0.2681098034
97	0.2669670782
98	0.2659190597
99	0.2648884352
100	0.2638944561
101	0.2628135982
102	0.2618445153
103	0.2607090514
104	0.2598069911
105	0.2590235948
106	0.2582744796
107	0.2572879348
108	0.2564003392
109	0.2554932973
110	0.2546839959
111	0.2540320133
112	0.2531334913
113	0.2522731018
114	0.2515212597
115	0.2508268263
116	0.250127327
117	0.2494360707
118	0.2487556279
119	0.24813616
120	0.2475158141
121	0.2470002046
122	0.2464235836
123	0.2459029615
124	0.2453396803
125	0.2447141681
126	0.2441575561
127	0.2436902903
128	0.2431388463
129	0.2427957717
130	0.2422430176
131	0.2417254955
132	0.2412212993
133	0.2407960939
134	0.2402667413
135	0.2397829494
136	0.2393332462
137	0.2388663566
138	0.2384210021
139	0.2379112621
140	0.2374924439
141	0.2369742912
142	0.2365274462
143	0.2362006108
144	0.2357779944
145	0.235375573
146	0.2349207782
147	0.2344685693
148	0.2341645729
149	0.2337252783
150	0.2332998224
151	0.232988928
152	0.2325446111
153	0.2321626616
154	0.2318475597
155	0.2314644571
156	0.2311372508
157	0.2307878169
158	0.2305806767
159	0.2302943278
160	0.2300123693
161	0.2296702797
162	0.2294206583
163	0.2291145981
164	0.2287389281
165	0.2284304207
166	0.2281517452
167	0.2278968309
168	0.2275998094
169	0.2273849827
170	0.2271688998
