iter	Passed	Remaining
0	8	8752
1	18	9075
2	26	8708
3	35	8722
4	44	8821
5	52	8774
6	62	8830
7	71	8880
8	80	8875
9	89	8886
10	97	8786
11	106	8806
12	115	8772
13	124	8765
14	132	8718
15	141	8684
16	149	8665
17	158	8636
18	166	8608
19	175	8600
20	183	8576
21	194	8639
22	203	8625
23	223	9091
24	232	9050
25	240	9004
26	249	8976
27	257	8944
28	265	8905
29	274	8871
30	282	8836
31	291	8811
32	299	8783
33	308	8751
34	316	8731
35	325	8708
36	333	8687
37	342	8669
38	351	8659
39	359	8633
40	368	8617
41	376	8598
42	385	8581
43	394	8561
44	402	8545
45	411	8527
46	419	8515
47	428	8499
48	437	8486
49	445	8469
50	454	8461
51	463	8444
52	472	8441
53	481	8429
54	489	8413
55	498	8402
56	506	8387
57	515	8375
58	524	8370
59	533	8359
60	542	8347
61	550	8332
62	559	8320
63	568	8311
64	576	8297
65	585	8282
66	594	8275
67	603	8267
68	611	8251
69	624	8294
70	633	8285
71	641	8273
72	650	8263
73	659	8248
74	668	8242
75	677	8232
76	686	8225
77	695	8216
78	703	8203
79	712	8192
80	720	8178
81	729	8168
82	738	8157
83	747	8148
84	756	8141
85	764	8128
86	773	8116
87	782	8107
88	791	8097
89	800	8089
90	808	8079
91	818	8073
92	839	8191
93	862	8312
94	879	8379
95	899	8471
96	907	8451
97	916	8435
98	925	8423
99	934	8408
100	943	8397
101	952	8383
102	960	8367
103	969	8356
104	979	8346
105	988	8334
106	997	8322
107	1005	8308
108	1015	8297
109	1023	8284
110	1033	8274
111	1042	8263
112	1050	8248
113	1059	8235
114	1067	8218
115	1077	8212
116	1086	8198
117	1095	8186
118	1103	8172
119	1112	8160
120	1121	8146
121	1130	8133
122	1138	8120
123	1147	8107
124	1156	8094
125	1165	8082
126	1174	8071
127	1183	8065
128	1193	8057
129	1202	8044
130	1210	8032
131	1219	8018
132	1228	8006
133	1236	7993
134	1245	7981
135	1254	7968
136	1262	7955
137	1271	7942
138	1280	7931
139	1289	7919
140	1298	7908
141	1306	7894
142	1314	7880
143	1323	7868
144	1332	7855
145	1340	7842
146	1349	7828
147	1357	7816
148	1366	7803
149	1375	7793
150	1383	7779
151	1392	7767
152	1400	7754
153	1409	7742
154	1418	7731
155	1427	7721
156	1436	7713
157	1445	7702
158	1454	7691
159	1462	7679
160	1471	7668
161	1479	7655
162	1488	7644
163	1497	7635
164	1506	7623
165	1515	7611
166	1523	7600
167	1532	7590
168	1541	7580
169	1550	7569
170	1559	7558
171	1567	7548
172	1576	7537
173	1585	7527
174	1594	7516
175	1603	7506
176	1611	7494
177	1620	7483
178	1629	7472
179	1637	7461
180	1646	7449
181	1656	7443
182	1665	7433
183	1674	7424
184	1683	7415
185	1691	7403
186	1700	7393
187	1709	7382
188	1718	7373
189	1726	7361
190	1735	7351
191	1744	7341
192	1753	7331
193	1762	7320
194	1771	7311
195	1779	7300
196	1788	7290
197	1797	7280
198	1806	7270
199	1815	7260
200	1823	7249
201	1832	7240
202	1841	7228
203	1850	7218
